slug,side,original,name,country,born,died,life,work,workDate,subtitle,paragraph,tag,link,priorSlug,nextSlug,spotTop,spotLeft
fourcroy,R,images/og/fourcroy.png,Charles Louis de Fourcroy,France,1766,1824,"France, 1766-1824",Poleometric table,1782,Essai d'une table poléométrique,"Use of geometric, proportional figures (squares) to compare demographic quantities by superposition, an early ""tableau graphique.""",PROPORTIONAL DIAGRAM,https://en.wikipedia.org/wiki/Charles_Louis_de_Fourcroy#Essai_d.E2.80.99une_table_pol.C3.A9om.C3.A9trique.2C_1782,priestley2,crome,-100.30%,-68.72%
fourier,R,images/og/fourier.png,Jean Baptiste Joseph Fourier,France,1768,1830,"France, 1768-1830",Fourier Ogive Curve,1821,Recherches Statistique sur La Ville de Paris,"Cumulative frequency curve, named 'ogive' by Galton for resemblance to curved point of gothic arch. Shows inhabitants of Paris by age groupings.",CUMULATIVE FREQUENCY,https://en.wikipedia.org/wiki/Ogive#Statistics,dupin,woodbridge,-102.77%,-59.59%
franklin,R,images/og/franklin.png,Benjamin Franklin,Pennsylvania (USA),1705,1790,"Pennsylvania (USA), 1705-1790",The Gulf Stream,1768,Franklin-Folger Chart,"First map of the Gulf Stream, which gave it its name. More popular 1785 version shown. Named for mariner (and Franklin cousin) Timothy Folger's contributions. Produced so to dissuade British mail packets from sailing against the current.",THE GULF STREAM,https://blogs.loc.gov/maps/2016/01/charting-the-gulf-stream/,lambert,priestley1,-118.49%,-75.27%
galton1,L,images/og/galton1.png,Francis Galton,England,1822,1911,"England, 1822-1911",Synchronous Weather Chart of England,1861,Meteorographica,Similar air pressure and barometric changes are shown with standard icons. Enabled discovery of anti-cyclonic movement of wind around low-pressure.,WEATHER MAP,https://en.wikipedia.org/wiki/Weather_map#History,gillespie,haeckel,-60.74%,-46.77%
galton2,L,images/og/galton2.png,Francis Galton,England,1822,1911,"England, 1822-1911",Special Peculiarities,1874,(papers),"Galton's first semi-graphic scatterplot and correlation diagram, of head size and height, from his notebook on Special Peculiarities.",GRAPHIC SCATTERPLOT,https://en.wikipedia.org/wiki/Francis_Galton#Correlation_and_regression,loua,walker1,-99.53%,-30.08%
galton3,L,images/og/galton3.png,Francis Galton,England,1822,1911,"England, 1822-1911",Regression towards mediocrity in hereditary stature,1875,Diagram based on Table I,"Galton's first illustration of the idea of correlation, using sizes of the seeds of mother and daughter plants.",CORRELATION,https://en.wikipedia.org/wiki/Francis_Galton#Correlation_and_regression,mayr4,lexis,-136.11%,-14.18%
gardner,R,images/og/gardner.png,William R. Gardner,England,(unknown),1850,"England, (unknown)-1850",Comparative Heights of the Principal Mountains and Lengths of the Principal Rivers,1823,with William Darton,"Rivers are stretched out in single lines, with the longest on the left combining with the shortest mountains, while the shortest rivers combine with the highest mountains on the right. First of its kind that defined a cartographic style.",STYLED GEOGRAPHY,http://www.geographicus.com/P/AntiqueMap/MountainsandRivers-darton-1823,woodbridge,quetelet1,-85.69%,-58.88%
gibbs,L,images/og/gibbs.png,Josiah Willard Gibbs,USA,1839,1903,"USA, 1839-1903",Gibbs Triangle,1873,Trilinear Plot,"First use of trilinear coordinates (graphs of x-y-z where x+y+z=constant), and other graphical methods applied to explain fundamental relations in thermodynamics including diagrams of entropy vs. temperature.",TRILINEAR PLOT,https://en.wikipedia.org/wiki/Ternary_plot,montigny,loua,-106.48%,-31.11%
gillespie,L,images/og/gillespie.png,William Mitchell Gillespie,USA,1816,1868,"USA, 1816-1868",The Progress of Our Population,1860,"The New York Times, May 19","Early example of a slopegraph, encoding 181 variables across 60 years. Gillespie introduced many charts to the newspaper across the 1850s, helping found data journalism.",DATA JOURNALISM,http://tinyletter.com/abovechart/letters/the-dataviz-pioneer-you-ve-never-heard-of,nightingale,galton1,-65.29%,-40.77%
guerry,R,images/og/guerry.png,André-Michel Guerry,France,1802,1866,"France, 1802-1866",Linking meteorological variations,1829,with physiological phenomena,First polar-area charts. Shows frequency of meteorological data as cyclic phenomena.,POLAR AREA CHART,https://en.wikipedia.org/wiki/Andr%C3%A9-Michel_Guerry#Polar_area_diagram,quetelet1,balbi,-71.15%,-55.85%
haeckel,L,images/og/haeckel.png,Ernst Haeckel,Germany,1834,1919,"Germany, 1834-1919",Monophyletic Tree of Organisms,1866,Monophyletischer Stambaum der Organismen,"Popularized a reformed morphology with evolution as the organising principle of a cosmic synthesis unifying science, religion, and art.",EMPIRICAL EVOLUTIONARY TREE,https://en.wikipedia.org/wiki/Ernst_Haeckel#Embryology_and_recapitulation_theory,galton1,minard2,-139.45%,-29.53%
halley1,R,images/og/halley1.png,Edmond Halley,England,1656,1742,"England, 1656-1742","An Historical Account of the Trade Winds, and Monsoons",1686,"Observable in the Seas between and near the Tropicks, with an Attempt to Assign the Phisical Cause of the Said Wind","First meteorological map. Charts directions of world trade winds and monsoons.",WIND MAP,http://rstl.royalsocietypublishing.org/content/16/179-191/153.full.pdf+html,plot,halley2,-101.78%,-83.11%
halley2,R,images/og/halley2.png,Edmond Halley,England,1656,1742,"England, 1656-1742",An Estimate of the Degrees of the Mortality of Mankind,1693,Fig. 7 (Halley's Diagram),First use of areas of rectangles to display probabilities of independent binary events (Halley's diagram). Proposed in the context of multivariate demographic data. Foundation for a more complex three-dimensional 'rectangled Parallelepipedon.',PROBABILITY RECTANGLES,http://www.pierre-marteau.com/editions/1693-mortality.html,halley1,halley3,-100.36%,-88.18%
halley3,R,images/og/halley3.png,Edmond Halley,England,1656,1742,"England, 1656-1742",Height of the Mercury in the Barometer,1686,Fig. 5 (Bivariate Plot),Bivariate plot of a theoretical curve derived from observations (barometric pressure vs. altitude). Graphical analysis based on empirical data.,EMPIRICAL OBSERVATIONS,http://rstl.royalsocietypublishing.org/content/16/179-191/104.full.pdf+html,halley2,halley4,-96.67%,-83.36%
halley4,R,images/og/halley4.png,Edmond Halley,England,1656,1742,"England, 1656-1742",Sea-Chart of the Western & Southern OCEAN,1701,shewing the Variations of the COMPASS,"Isogonic map, lines of equal magnetic declination for the world.  Possibly the first contour map of a data-based variable.",MAGNETIC FIELD MAP,https://en.wikipedia.org/wiki/Edmond_Halley,halley3,lancisi,-90.21%,-87.27%
harness,R,images/og/harness.png,Henry Drury Harness,England,1804,1883,"England, 1804-1883",Passenger Conveyance Map,1837,Irish Railway Commission Atlas,"First published flow maps, showing transportation by means of shaded lines, widths proportional to number of passengers.",FLOW MAP,http://www.complexcity.info/files/2011/06/harness-1837-flowmap.pdf,montizon,darwin,-60.91%,-62.63%
humboldt1,R,images/og/humboldt1.png,Alexander von Humboldt,Prussia (Germany),1769,1859,"Prussia (Germany), 1769-1859",Territorial Extent and Population,1811,of Metropolises and Colonies in 1804,"Stacked bar graph shows the relative size of land areas (fat bars) and populations (skinny bars) in the New World, organized by European colonizing country. Note dramatic flourish of USA breaking off from other British colonies.",STACKED BAR GRAPH,http://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~1885~170023:Tableau-comparatif-de-l-etendue-ter?qvq=w4s:/when%2F1804%2F;lc:RUMSEY~8~1&mi=8&trs=357,maclure,smith,-66.59%,-70.39%
humboldt2,R,images/og/humboldt2.png,Alexander von Humboldt,Prussia (Germany),1769,1859,"Prussia (Germany), 1769-1859",Isothermal lines,1817,Carte des lignes isothermes,"First graph of isotherms (a term Humboldt coined), showing mean temperature around the world by latitude & longitude. Shows that temperature depends on latitude and altitude, a subscripted graph shows the direct relation of temperature to these two variables. Revolutionized physical geography and all future thematic mapping.",ISOTHERMS,https://en.wikipedia.org/wiki/Alexander_von_Humboldt,brandes,dupin,-111.17%,-53.06%
huygens,R,images/og/huygens.png,Christiaan Huygens,Netherlands,1629,1695,"Netherlands, 1629-1695",Graunt's Life Table,1669,From letter to brother Lodewijk,"First graph of a continuous distribution function. Data are from Graunt's life table, with age on the horizontal axis and number of survivors of the original birth cohort on the vertical axis. Part of a discussion of how to determine life expectancy for a person of given age.",CONTINUOUS FUNCTION,https://www.researchgate.net/publication/12181666_Statistical_Graphics_Mapping_the_Pathways_of_Science,kircher,ogilby,-130.61%,-85.37%
kircher,R,images/og/kircher.png,Athanasius Kircher,Buchonia (Germany),1602,1680,"Buchonia (Germany), 1602-1680",Hydrographic Map of Ocean Motion,1665,Tabula Geographico-Hydrographica Motus Oceani,"Landmark world map of ocean currents, first published in Kircher's Mundus Subterraneus, which advanced his theory that tides and currents are caused by water moving to and from a massive subterranean ocean.",WORLD CURRENTS,https://www.geographicus.com/P/AntiqueMap/GeoHydro-kircher-1665,langren,huygens,-130.35%,-81.34%
lalanne,L,images/og/lalanne.png,Leon Lalanne,France,1811,1892,"France, 1811-1892",A Complete Course of Meteorology,1845,Appendix Plate 1.,"Contour map of a 3D table: temperature x hour x month. Published in Kaemtz's METEOROLOGY, which also includes first logarithmic grid.",3D TABLE,http://libweb5.princeton.edu/visual_materials/maps/websites/thematic-maps/quantitative/meteorology/lalanne-map-1845.jpg,prichard,quetelet2,-112.99%,-39.17%
lambert,R,images/og/lambert.png,Johann Heinrich Lambert,Switzerland,1728,1777,"Switzerland, 1728-1777",Essai d'Hygrometrie,1769,ou sur la mesure de l'humidité,"""A diagram does incomparably better service here than a table."" Developed theory of measurement error by showing deviations from regular graphed line in study of humidity, first described in Neues Organon (1764).",MEASUREMENT ERROR,https://halshs.archives-ouvertes.fr/halshs-00663305/file/Lambert_Toolkit_rev.pdf,dubourg,franklin,-129.69%,-74.14%
lancisi,R,images/og/lancisi.png,Giovanni Maria Lancisi,Italy,1654,1720,"Italy, 1654-1720",On the noxious effluvia of marshes,1717,and their remedies,Argument with an annotated map that mosquito-infested swamps are the breeding ground for malaria. Recommends draining swamps and cultivating forests.,ANNOTATED DISEASE MAP,http://libweb5.princeton.edu/visual_materials/maps/websites/thematic-maps/quantitative/medicine/medicine.html,halley4,buache1,-80.62%,-88.71%
langren,R,images/og/langren.png,Michael Florent van Langren,Netherlands,1598,1675,"Netherlands, 1598-1675",Degrees of Longitude,1644,Grados de la Longitud,"First (known) graph of statistical data. Created to explain the magnitude of the longitude problem. Shows the wide range of estimates of the distance in longitude between Toledo and Rome across a dozen maps. Dates to 1628 correspondence, formally presented in 1644.",EARLIEST KNOWN,http://www.datavis.ca/papers/langren-TAS09154.pdf,scheiner,kircher,-137.25%,-87.11%
lexis,L,images/og/lexis.png,Wilhelm Lexis,Germany,1837,1914,"Germany, 1837-1914",Introduction to the Theory of Population Statistics,1875,Einleitung in die Theorie der Bevölkerungsstatistik,"""Lexis diagram"" showing relations among age, calendar time, and life spans of individuals simultaneously. Created at a time when multiple demographers were making similar charts.",LEXIS DIAGRAM,https://en.wikipedia.org/wiki/Wilhelm_Lexis#Lexis_diagram,galton3,bowditch,-131.86%,-9.21%
loua,L,images/og/loua.png,Toussaint Loua,France,1824,1907,"France, 1824-1907",Shaded Table,1873,Résumé graphique général de l'atlas statistique de la population de Paris,First-known use of a semi-graphic table to display a data table by shading levels.,SHADED TABLE,https://babel.hathitrust.org/cgi/pt?id=hvd.32044004541348&view=2up&seq=322,gibbs,galton2,-103.58%,-25.61%
maclure,R,images/og/maclure.png,William Maclure,USA,1763,1840,"USA, 1763-1840",Geology of the United States,1809,APS Transactions Vol. IV.,"Maclure began the self-imposed task of making a geological survey of the U.S. in 1807, crossing the Allegheny Mountains ~50 times and covering nearly every state. He produced the largest geological map of its kind to date, earning him the honored title of 'Father of American Geology.'",GEOLOGIC SURVEY, https://en.wikipedia.org/wiki/William_Maclure#Geological_map,seaman,humboldt1,-71.97%,-74.93%
marey1,L,images/og/marey1.png,Étienne-Jules Marey,France,1830,1904,"France, 1830-1904",Flight of a Pelican,1882,Chronophotographic illustration,"Invention of chronophotographic gun, the precursor of motion-picture cameras. It recorded a series of 12 consecutive frames a second, with all the frames recorded on the same picture. Used to study natural motion of animals and people.",PHOTO VIZ,https://en.wikipedia.org/wiki/%C3%89tienne-Jules_Marey#Chronophotography,venn2,mulhall,-96.63%,-17.99%
marey2,L,images/og/marey2.png,Étienne-Jules Marey,France,1830,1904,"France, 1830-1904",Fig. 5 - Chart of train operation on a railway,1885,The graphical method,With engineer Ibry. Graphic representation of a train schedule showing rate of travel along the route from Paris to Lyon. Recent evidence suggests that Lt. Sergev had developed this method approximately 30 years earlier in Russia.,TRAIN SCHEDULE DIAGRAM,http://chance.amstat.org/2013/02/stiglers-law/,ocagne,cheysson,-85.14%,-18.50%
maunder,L,images/og/maunder.png,Edward Walter Maunder,England,1851,1928,"England, 1851-1928",Distribution of Spot Centres in Latitude,1904,with Annie Maunder,"Use of the ""butterfly diagram'' to study the variation of sunspots over time, leading to the discovery that they were markedly reduced in frequency from 1645-1715 (later named the Maunder minimum').",BUTTERFLY DIAGRAM,https://en.wikipedia.org/wiki/Edward_Walter_Maunder#Solar_observations,bowley,close,-59.23%,-14.72%
mayr1,L,images/og/mayr1.png,Georg von Mayr,Germany,1841,1925,"Germany, 1841-1925",J. of the Royal Bavarian Statistical Bureau,1874,Figure VII: Line charts in circles,Early demonstration of 'radar chart' polar diagram for data representation.,RADAR CHART,https://books.google.com/books?id=ICJlAAAAcAAJ&dq=%22Gutachten%20Uber%20die%20Anwendung%20der%20Graphischen%20und%20Geographischen%22&pg=PA42-IA3#v=onepage&q&f=true,vauthier,mayr2,-67.49%,-31.39%
mayr2,L,images/og/mayr2.png,Georg von Mayr,Germany,1841,1925,"Germany, 1841-1925",J. of the Royal Bavarian Statistical Bureau,1874,Figure XII: Flat charts in polgon,Early use of star plot for data representation.,STAR PLOT,https://books.google.com/books?id=ICJlAAAAcAAJ&dq=%22Gutachten%20Uber%20die%20Anwendung%20der%20Graphischen%20und%20Geographischen%22&pg=PA42-IA3#v=onepage&q&f=true,mayr1,mayr3,-66.03%,-27.04%
mayr3,L,images/og/mayr3.png,Georg von Mayr,Germany,1841,1925,"Germany, 1841-1925",J. of the Royal Bavarian Statistical Bureau,1874,Figure VIII: Flat diagram with subdivisions,"Early use of proportional, divided square in the modern mosaic form.",MOSAIC PLOT,https://books.google.com/books?id=ICJlAAAAcAAJ&dq=%22Gutachten%20Uber%20die%20Anwendung%20der%20Graphischen%20und%20Geographischen%22&pg=PA42-IA3#v=onepage&q&f=true,mayr2,mayr4,-61.12%,-32.40%
mayr4,L,images/og/mayr4.png,Georg von Mayr,Germany,1841,1925,"Germany, 1841-1925",J. of the Royal Bavarian Statistical Bureau,1874,"Figure XIX (Horses, Cattle)",Two variable color map showing the joint density of horses (red) and cattle (green) in Bavaria.,BIVARIABLE COLOR MAP,https://books.google.com/books?id=ICJlAAAAcAAJ&dq=%22Gutachten%20Uber%20die%20Anwendung%20der%20Graphischen%20und%20Geographischen%22&pg=PA42-IA7#v=onepage&q&f=true,mayr3,galton3,-60.08%,-27.59%
mccallum,L,images/og/mccallum.png,Daniel McCallum,USA,1815,1878,"USA, 1815-1878",New York & Erie Railroad,1855,Diagram Representing a Plan of Organization,"First formal organizational chart, designed to allow management of a business that was becoming unwieldy in its size and act as a directory for the new telegraph. Drafted by G.H. Henshaw.",ORG CHART,http://www.slate.com/blogs/the_vault/2014/02/05/the_first_modern_organizational_chart_is_a_thing_of_beauty.html,snow,nightingale,-75.14%,-40.74%
mendeleev,L,images/og/mendeleev.png,Dmitri Mendeleev,Russia,1834,1907,"Russia, 1834-1907",Periodic Table,1869,On the relations of the properties to the atomic weights of the elements.,"Used to classify chemical elements according to their properties, allowing the prediction of new elements that would be discovered later. Published in Zeitschrift für Chemie.",PERIODIC TABLE,http://www.scs.illinois.edu/~mainzv/exhibit/mendeleev.htm,zeuner,montigny,-121.61%,-28.08%
minard1,L,images/og/minard1.png,Charles Joseph Minard,France,1781,1870,"France, 1781-1870",Butchered Meats,1851,Carte Figurative ... Viandes de Boucherie,Map incorporating statistical diagrams: pie charts proportional to consumption and colored by type of meat.,DIAGRAMS ON MAP,https://upload.wikimedia.org/wikipedia/commons/1/1c/Minard-carte-viande-1858.png,berghaus,serjev,-95.04%,-39.66%
minard2,L,images/og/minard2.png,Charles Joseph Minard,France,1781,1870,"France, 1781-1870",Successive Losses of Men of the French Army,1869,in the Campaign of Russia 1812-1813,Part of a pair of military history graphics possibly created as an anti-war commentary on the eve of the looming Prussian invasion. The last major work by Minard before his death after fleeing Paris.,PERFECTED FLOW MAP,https://en.wikipedia.org/wiki/Charles_Joseph_Minard,haeckel,zeuner,-132.21%,-24.56%
montigny,L,images/og/montigny.png,Léon Montigny,France,1847,1899,"France, 1847-1899",Election Map,1870,"Les Élections Parisiennes, 1869","Election map of Paris, showing the breakdown of votes by parties. Napoleon III's defeat in the elections of 1869 forced him to seek domestic political legitimacy through international conflict. The changing political tide  would lead to domestic turmoil, and eventually to a major international war and the fall of the Second French Empire.",ELECTION MAP,https://cartographia.wordpress.com/2008/05/29/napoleon-iii-and-the-fall-of-an-empire/,mendeleev,gibbs,-113.08%,-28.43%
montizon,R,images/og/montizon.png,Armand Joseph Frère de Montizon,France,1788,(unknown),"France, 1788-(unknown)",The Population of France,1830,Carte Philosophique figurant La Population de la France,"First simple dot map of population by jurisdiction, with 1 dot = 10,000 people, producing a visual display of population density.",DOT MAP,https://en.wikipedia.org/wiki/Dot_distribution_map#Carte_philosophique_figurant_la_population_de_la_France,balbi,harness,-64.02%,-55.57%
mulhall,L,images/og/mulhall.png,Michael George Mulhall,Ireland,1836,1900,"Ireland, 1836-1900","Railways, capital employed 1882",1884,Dictionary of Statistics,Pictogram used to represent data by sizing icons proportional to a number. One of many fun figures across this clever dictionary.,PICTOGRAM,https://archive.org/stream/mulhallsdiction00unkngoog#page/n413/mode/2up,marey1,ocagne,-94.65%,-11.64%
muybridge,L,images/og/muybridge.png,Eadweard Muybridge,England,1830,1904,"England, 1830-1904",The Horse in Motion,1878,"""Sallie Gardner,"" owned by Leland Stanford",Photographic series Horse In Motion was an early example of both small multiples and photo visualization.,PHOTO VIZ,https://en.wikipedia.org/wiki/Eadweard_Muybridge#Stanford_and_horse_gaits,bowditch,perozzo,-121.68%,-12.61%
nightingale,L,images/og/nightingale.png,Florence Nightingale,England,1820,1910,"England, 1820-1910",Diagram of the Causes of Mortality,1858,Mortality of the British army,"Several statistics-enhancing charts, including this famous polar-area diagram, together used to successfully argue for social and health reforms. Packaged in a colorful publication nicknamed the ""coxcomb."" Aided the introduction of modern nursing to the world.",MEDICAL REFORM,https://archive.org/details/mortalityofbriti00lond,mccallum,gillespie,-69.85%,-46.99%
ocagne,L,images/og/ocagne.png,Maurice d' Ocagne,France,1862,1938,"France, 1862-1938",Parallel & axial coordinates,1884,Coordonnées parallèles et axiales,"First alignment diagrams. Uses sets of parallel axes, rather than axes at right angles, in development of the essential ideas used in parallel coordinates plots. First of many figures shown.",ALIGNMENT DIAGRAM,https://books.google.com/books?id=gIoLAAAAYAAJ&dq=d%27Ocagne%201885&pg=PA1#v=onepage&q&f=false,mulhall,marey2,-87.13%,-12.08%
ogilby,R,images/og/ogilby.png,John Ogilby,Scotland,1600,1676,"Scotland, 1600-1676",BRITANNIA,1675,"""An Illustration of the Kingdom of England"" ","First comprehensive road atlas, consisting of 100 plates. Innovations include establishing the scale of one inch to the mile, the consistent use of the standard mile, and an iconic scroll format popular for hundreds of years after and revitalized in the design of this interactive.",ROAD ATLAS,https://www.fulltable.com/vts/m/map/ogilby/mna.htm,huygens,speed,-123.10%,-87.67%
perozzo,L,images/og/perozzo.png,Luigi Perozzo,Italy,1856,1916,"Italy, 1856-1916",Absolute Number of Live Male Births,1879,Numero Assoluto dei Nati Vivi Maschi,"Stereogram (three-dimensional population pyramid) modeled on actual data (Swedish census, 1750-1875).",EMPIRICAL STEREOGRAM,https://books.google.com/books?id=zzCiSJoohuQC&pg=PA30&lpg=PA30&dq=perozzo+stereogram&source=bl&ots=hxECQaYgf0&sig=U_WpIB1LZOnmQvsYR3TneM82Hk4&hl=en&sa=X&ved=0ahUKEwjzstDW14zWAhVKiFQKHRMqB1wQ6AEIUjAO#v=onepage&q=perozzo%20stereogram&f=false,muybridge,venn1,-111.48%,-10.27%
playfair1,R,images/og/playfair1.png,William Playfair,Scotland,1759,1823,"Scotland, 1759-1823",Commercial and Political Atlas,1786,Exports and Imports of SCOTLAND,"The first bar chart not tethered to time (e.g. Priestley's bars representing lifespans). Necessitated by not having historic data for Scotland, it constitutes a pure solution to the problem of discrete quantitative comparison.",BAR GRAPH,http://www.psych.utoronto.ca/users/spence/Spence%20(2006).pdf,playfair1,playfair3,-83.80%,-72.60%
playfair2,R,images/og/playfair2.png,William Playfair,Scotland,1759,1823,"Scotland, 1759-1823",Commercial and Political Atlas,1786,Exports and Imports to and from Denmark & Norway from 1700 to 1780,"First times series line graph including all elements we now take for granted: graduated and labeled axes, grid lines, title, annotations, lines indicating changes in the data over time, color to categorize different categories and highlight differences.",LINE GRAPH,http://www.psych.utoronto.ca/users/spence/Spence%20(2006).pdf,crome,playfair1,-83.13%,-69.54%
playfair3,R,images/og/playfair3.png,William Playfair,Scotland,1759,1823,"Scotland, 1759-1823",Statistical Breviary,1801,Cities of Europe in the order of their Population,First bubble chart. Represents city population with area of circle.,BUBBLE CHART,http://www.psych.utoronto.ca/users/spence/Spence%20(2006).pdf,playfair2,playfair4,-77.91%,-71.88%
