slug,side,original,name,country,born,died,life,work,workDate,subtitle,paragraph,tag,link,priorSlug,nextSlug,spotTop,spotLeft
quetelet1,R,/adventures/scroll/images/og/quetelet1.png,Adolphe Quetelet,Belgium,1796,1874,"Belgium, 1796-1874",Curves indicating the tendency to crime,1828,in men (M) and women (M'),Curves drawn from empirical data showing propensity to crime for both sexes: men peak earlier.,DEMOGRAPHIC CURVES,https://books.google.com/books?id=4ghRAAAAcAAJ&pg=PA304&lpg=PA304&dq=%22Courbes+indiquant+le+penchant+au+crime+chez+l%27homme+et+chez+la+femme%22&source=bl&ots=d3C1995SZ9&sig=Nk48XEwGMRuCCeUOrcIOhogj8x0&hl=en&sa=X&ved=0ahUKEwjfxOuipo_WAhWoj1QKHX3cBF8Q6AEIKDAA#v=onepage&q=%22Courbes%20indiquant%20le%20penchant%20au%20crime%20chez%20l'homme%20et%20chez%20la%20femme%22&f=false,gardner,guerry,-99.87%,-56.65%
guerry,R,/adventures/scroll/images/og/guerry.png,Andre-Michel Guerry,France,1802,1866,"France, 1802-1866",Linking meteorological variations,1829,with physiological phenomena,First polar-area charts. Shows frequency of meterological data as cyclic phenomena.,POLAR AREA CHART,https://en.wikipedia.org/wiki/Andr%C3%A9-Michel_Guerry#Polar_area_diagram,quetelet1,balbi,-104.66%,-54.23%
balbi,R,/adventures/scroll/images/og/balbi.png,Adriano Balbi,Italy,1782,1848,"Italy, 1782-1848",Crime Map,1829,L'etat de l'instruction et du nombre des crimes,"The first comparative choropleth thematic maps, showing crimes against persons and crimes against property in relation to level of instruction by departments in France, with Andre-Michel Guerry.",COMPARATIVE CHOROPLETHS,https://en.wikipedia.org/wiki/Adriano_Balbi,guerry,montizon,-107.11%,-60.55%
montizon,R,/adventures/scroll/images/og/montizon.png,Armand Joseph Frere de Montizon,France,1788,(unknown),"France, 1788-(unknown)",The Population of France,1830,Carte Philosophique figurant La Population de la France,"First simple dot map of population by department, with 1 dot = 10,000 people, producing a visual display of population density.",DOT MAP,https://en.wikipedia.org/wiki/Dot_distribution_map#Carte_philosophique_figurant_la_population_de_la_France,balbi,harness,-114.54%,-54.74%
harness,R,/adventures/scroll/images/og/harness.png,Henry Drury Harness,England,1804,1883,"England, 1804-1883",Passenger Conveyance Map,1837,Irish Railway Commission Atlas,"First published flow maps, showing transportation by means of shaded lines, widths proportional to number of passengers.",FLOW MAP,http://www.complexcity.info/files/2011/06/harness-1837-flowmap.pdf,montizon,darwin,-116.69%,-60.80%
darwin,R,/adventures/scroll/images/og/darwin.png,Charles Darwin,England,1809,1882,"England, 1809-1882",Tree of Life,1837,"""B"" Notebook","Vision for diverging adaptation as genealogical branching from a common ancestor, refined and published in On the Origin of the Species (1859).",EVOLUTIONARY TREE,https://en.wikipedia.org/wiki/Inception_of_Darwin%27s_theory#B_notebook,harness,prichard,-119.15%,-57.11%
prichard,L,/adventures/scroll/images/og/prichard.png,James Cowles Prichard,England,1786,1848,"England, 1786-1848",Ethnographical Maps,1843,Africa (1 of 6 continent maps),"First ethnographic maps, promoting 'Natural History of Man.' Africa's color key identifies 31 different races.",ETHNOGRAPHIC MAP,https://www.davidrumsey.com/luna/servlet/view/search?search=SUBMIT&q=Prichard+Natural+History+of+Man&dateRangeStart=&dateRangeEnd=&sort=pub_list_no_initialsort%2Cpub_list_no_initialsort%2Cpub_date%2Cpub_date&QuickSearchA=QuickSearchA,darwin,lalanne,-63.52%,-38.16%
lalanne,L,/adventures/scroll/images/og/lalanne.png,Leon Lalanne,France,1811,1892,"France, 1811-1892",A Complete Course of Meteorology,1845,Appendix Plate 1.,"Contour map of a 3D table: temperature x hour x month. Published in Kaemtz's METEOROLOGY, which also includes first logarithmic grid.",3D TABLE,http://libweb5.princeton.edu/visual_materials/maps/websites/thematic-maps/quantitative/meteorology/lalanne-map-1845.jpg,prichard,quetelet2,-68.13%,-44.66%
quetelet2,L,/adventures/scroll/images/og/quetelet2.png,Adolphe Quetelet,Belgium,1796,1874,"Belgium, 1796-1874",Normal Curve,1846,Letters on the Theory of Probability,"Results of sampling from urns shown as symmetrical histograms, with limiting ""curve of possibility'' (later called the normal curve).",NORMAL CURVE,https://babel.hathitrust.org/cgi/pt?id=njp.32101067206977;view=1up;seq=88;size=300,lalanne,berghaus,-73.64%,-38.74%
berghaus,L,/adventures/scroll/images/og/berghaus.png,Heinrich Berghaus,Germany,1797,1884,"Germany, 1797-1884",Physical atlas,1848,Physikalischer Atlas,"One of the most extensive and detailed thematic atlases, an illustration of Alexander von Humboldt's Cosmos. With distribution of plants, animals, and climate. Most of the maps contained tables, graphs, pictorial profiles of distributions over altitude, and other visual accompaniments including cross sectional diagrams.",THEMATIC ATLAS,http://libweb5.princeton.edu/visual_materials/maps/websites/thematic-maps/landmark-thematic-atlases/landmark-thematic-atlases.html,quetelet2,minard1,-75.01%,-44.16%
minard1,L,/adventures/scroll/images/og/minard1.png,Charles Joseph Minard,France,1781,1870,"France, 1781-1870",Butchered Meats,1851,Carte Figurative ... Viandes de Boucherie,Map incorporating statistical diagrams: bubble pie charts proportional to meat consumption.,DIAGRAMS ON MAP,https://upload.wikimedia.org/wikipedia/commons/1/1c/Minard-carte-viande-1858.png,berghaus,serjev,-84.32%,-38.02%
serjev,L,/adventures/scroll/images/og/serjev.png,Lt. Serjev,Russia,(unknown),(unknown),"Russia, (unknown)-(unknown)",Train Schedule Diagram,1854,"Map, Schedule, Freight Tariffs","Graphic representation of a train schedule for 35 railways stations, between St. Petersburg and Moscow. Top panel contains altitude above the Baltic Sea. Rediscovered in 1993 by Bart Bielawski.",SCHEDULE DIAGRAM,http://chance.amstat.org/2013/02/stiglers-law/,minard1,snow,-87.04%,-45.37%
snow,L,/adventures/scroll/images/og/snow.png,John Snow,England,1813,1858,"England, 1813-1858",Cholera Map,1855,"On the Mode of Communication of Cholera, 2nd Ed.","Use of a map to display epidemiological data. Used to communicate the nature of the disease by highlighting the source of the 1854 Broad Street cholera epidemic, especially in the 2nd edition.",EPIDEMIOLOGY,https://books.google.com/books?id=-N0_AAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,serjev,mccallum,-95.87%,-44.06%
mccallum,L,/adventures/scroll/images/og/mccallum.png,Daniel McCallum,USA,1815,1878,"USA, 1815-1878",New York & Erie Railroad,1855,Diagram Representing a Plan of Organization,"First formal organizational chart, designed to allow management of a business that was becoming unwieldy in its size. Drafted by G.H. Henshaw.",ORG CHART,http://www.slate.com/blogs/the_vault/2014/02/05/the_first_modern_organizational_chart_is_a_thing_of_beauty.html,snow,nightingale,-101.76%,-39.33%
nightingale,L,/adventures/scroll/images/og/nightingale.png,Florence Nightingale,England,1820,1910,"England, 1820-1910",Diagram of the Causes of Mortality,1858,Mortality of the British army,"Used several statistics-enhancing charts, including this famous polar-area diagram, in a colorful publication nicknamed ""coxcomb"" Successfully argued for social and health reforms and introduced modern nursing to the world.",MEDICAL REFORM,https://archive.org/details/mortalityofbriti00lond,mccallum,gillespie,-107.19%,-45.74%
gillespie,L,/adventures/scroll/images/og/gillespie.png,William Mitchell Gillespie,USA,1816,1868,"USA, 1816-1868",The Progress of Our Population,1860,"The New York Times, May 19","Early example of a slopegraph, encoding 181 variables across 60 years. Gillespie introduced many charts to the newspaper across the 1850s, helping found data journalism.",DATA JOURNALISM,http://tinyletter.com/abovechart/letters/the-dataviz-pioneer-you-ve-never-heard-of,nightingale,galton1,-111.72%,-39.59%
galton1,L,/adventures/scroll/images/og/galton1.png,Francis Galton,England,1822,1911,"England, 1822-1911",Synchronous Weather Chart of England,1861,Meteorographica,Similar air pressure and barometric changes shown with standard icons. Enabled discovery of anti-cyclonic movement of wind around low-pressure.,WEATHER MAP,https://en.wikipedia.org/wiki/Weather_map#History,gillespie,haeckel,-116.82%,-45.51%
haeckel,L,/adventures/scroll/images/og/haeckel.png,Ernst Haeckel,Germany,1834,1919,"Germany, 1834-1919",Monophyletic Tree of Organisms,1866,Monophyletischer Stambaum der Organismen,"Popularized a reformed morphology with evolution as the organising principle of a cosmic synthesis unifying science, religion, and art.",EMPIRICAL EVOLUTIONARY TREE,https://en.wikipedia.org/wiki/Ernst_Haeckel#Embryology_and_recapitulation_theory,galton1,minard2,-120.43%,-38.89%
minard2,L,/adventures/scroll/images/og/minard2.png,Charles Joseph Minard,France,1781,1870,"France, 1781-1870","Successive Losses of Men of the French Army",1869,in the Campaign of Russia 1812-1813,Part of a pair of military history graphics possibly created as an anti-war commentary on the eve of the looming Prussian invasion. The last major work by Minard before his death after fleeing Paris.,PERFECTED FLOW MAP,https://en.wikipedia.org/wiki/Charles_Joseph_Minard,haeckel,zeuner,-67.96%,-23.38%
zeuner,L,/adventures/scroll/images/og/zeuner.png,Gustav Zeuner,Germany,1828,1907,"Germany, 1828-1907","Set of the Living, Dead",1869,"Treatises from Mathematical Statistics, Fig. 1","Three-dimensional population surface or ""stereogram'' comparing births, mortality, and census year. One of 27 graphs in this work.",STEREOGRAM,http://www.demogr.mpg.de/papers/workshops/000828_paper02.pdf,minard2,mendeleev,-73.88%,-30.43%
mendeleev,L,/adventures/scroll/images/og/mendeleev.png,Dmitri Mendeleev,Russia,1834,1907,"Russia, 1834-1907",Periodic Table,1869,On the relations of the properties to the atomic weights of the elements.,"Used to classify chemical elements according to their properties, allowing the prediction of new elements that would be discovered later. Published in Zeitschrift fur Chemie.",PERIODIC TABLE,http://www.scs.illinois.edu/~mainzv/exhibit/mendeleev.htm,zeuner,montigny,-78.60%,-26.93%
montigny,L,/adventures/scroll/images/og/montigny.png,Leon Montigny,France,1847,1899,"France, 1847-1899",Election Map,1870,"Les Elections Parisiennes, 1869","Election map of Paris, showing the breakdown of votes by parties. Napoleon III's defeat in the elections of 1869 forced him to seek domestic political legitimacy through international conflict. The changing political tide  would lead to domestic turmoil, and eventually to a major international war and the fall of the Second French Empire.",ELECTION MAP,https://cartographia.wordpress.com/2008/05/29/napoleon-iii-and-the-fall-of-an-empire/,mendeleev,gibbs,-86.15%,-27.53%
gibbs,L,/adventures/scroll/images/og/gibbs.png,Josiah Willard Gibbs,USA,1839,1903,"USA, 1839-1903",Gibbs Triangle,1873,Trilinear Plot,"First use of trilinear coordinates (graphs of x-y-z where x+y+z=constant), and other graphical methods applied to explain fundamental relations in thermodynamics including diagrams of entropy vs. temperature.",TRILINEAR PLOT,https://en.wikipedia.org/wiki/Ternary_plot,montigny,loua,-94.71%,-30.87%
loua,L,/adventures/scroll/images/og/loua.png,Toussaint Loua,France,1824,1907,"France, 1824-1907",Shaded Table,1873,Resume graphique general de l'atlas statistique de la population de Paris,First-known use of a semi-graphic table to display a data table by shading levels.,SHADED TABLE,http://gallica.bnf.fr/ark:/12148/bpt6k81402n/f139.image,gibbs,galton2,-94.75%,-25.15%
galton2,L,/adventures/scroll/images/og/galton2.png,Francis Galton,England,1822,1911,"England, 1822-1911",Special Peculiarities,1874,(papers),"Galton's first semi-graphic scatterplot and correlation diagram, of head size and height, from his notebook on Special Peculiarities.",GRAPHIC SCATTERPLOT,https://en.wikipedia.org/wiki/Francis_Galton#Correlation_and_regression,loua,walker1,-101.15%,-29.21%
walker1,L,/adventures/scroll/images/og/walker1.png,Francis Amasa Walker,USA,1840,1897,"USA, 1840-1897",Distribution by Age and Sex,1874,Statistical Atlas of the United States,Age pyramid (bilateral histogram).,AGE PYRAMID,https://www.census.gov/library/publications/1872/dec/1870e.html,galton2,walker2,-108.99%,-28.55%
walker2,L,/adventures/scroll/images/og/walker2.png,Francis Amasa Walker,USA,1840,1897,"USA, 1840-1897",Principal Constituent Elements,1874,Statistical Atlas of the United States,The use of subdivided squares to show the division of population by two variables jointly (an early mosaic display).,CENSUS TREE DIAGRAM,https://www.census.gov/library/publications/1872/dec/1870e.html,walker1,vauthier,-108.08%,-25.10%
